id,name,year,status,type,country,genres,rating,watched_date,note
1,FRIENDS,1994,completed,series,US,"sitcom,comedy,friendship",10.0,2023,First sitcom ;)
2,The Big Bang Theory,2007,completed,series,US,"sitcom,comedy,friendship",8.0,2023,
3,Lighter and Princess,2022,completed,series,China,"romance,school",9.0,2023,
4,You Are the Apple of My Eye,2011,completed,movie,China,"romance,school",10.0,2023,
5,Our Secret,2021,completed,series,China,"romance,school",3.0,2023,
6,A Love So Beautiful,2017,completed,series,China,"comedy,romance,school",4.0,2023,
7,Back to Seventeen,2023,completed,series,China,"romance,time travel",7.0,2024,
8,When I fly towards you,2023,completed,series,China,"comedy,romance,school",10.0,2023,
9,Flourish in Time,2021,completed,series,China,school,8.0,2023,
10,Doona!,2023,completed,series,Korea,romance,4.0,2023,
11,Our Memories,2024,completed,series,China,"romance,school",3.0,2024,
12,Hidden Love,2023,completed,series,China,romance,8.0,2024,
13,Time and Him Are Just Right,2022,completed,series,China,"romance,school",8.0,2024,
14,Angels Fall Sometimes,2024,completed,series,China,"romance,melodrama",9.0,2024,
15,Everyone Loves Me,2024,completed,series,China,"comedy,romance",3.0,2024,
16,Queen of Tears,2024,completed,series,Korea,"comedy,romance",8.0,2024,
17,Lovely Runner,2024,completed,series,Korea,"comedy,romance,time travel",10.0,2024,
18,Spy x Family: White code,2023,completed,movie,Japan,"comedy,animation,family,action",8.0,2024-06-29,
19,Bubble,2022,completed,movie,Japan,"animation,adventure",5.0,2025-09-13,
20,Nobody,2021,completed,movie,US,action,9.0,2025-04-19,
21,Nobody 2,2025,completed,movie,US,action,8.0,2025-09-10,
22,Your Lie in April,2014,completed,series,Japan,"comedy,animation,music",10.0,2024-04-02,
23,Twinkling Watermelon,2023,completed,series,Korea,"comedy,romance,school,time travel,family,music,coming of age",10.0,2024-07-27,
24,Our Beloved Summer,2022,completed,series,Korea,"comedy,romance,school",7.0,2024-07-30,
25,Welcome to Samdalri,2023,completed,series,Korea,"comedy,romance",7.0,2024-10-03,
26,Moving,2023,completed,series,Korea,"romance,school,family,action,supernatural",10.0,2024-08-06,
27,Spider-Man: Across the Spider-Verse,2023,completed,movie,US,"animation,action,sci-fi",9.0,2024-08-11,
28,The Witch: Part 1,2018,completed,movie,Korea,"action,supernatural",8.0,2024-08-11,
29,A Shop for Killers,2024,completed,series,Korea,"family,action",9.0,2024-08-12,
30,The Atypical Family,2024,completed,series,Korea,"time travel,family,supernatural",8.0,2024-08-22,
31,Daily Dose of Sunshine,2023,completed,series,Korea,"romance,medical,healing",10.0,2024-08-29,
32,18 Again,2020,completed,series,Korea,"comedy,romance,time travel,family,fantasy",10.0,2024-08-31,
33,Weak Hero Class,2022,completed,series,Korea,"friendship,school,action",10.0,2024-09-02,
34,Death's Game,2023,completed,series,Korea,"fantasy,death",10.0,2024-09-04,
35,The Good Bad Mother,2023,completed,series,Korea,"comedy,romance,family",9.0,2024-09-06,
36,Law School,2021,completed,series,Korea,"school,mystery,crime,law",9.0,2024-09-12,
37,See You in My 19th Life,2023,completed,series,Korea,"comedy,romance,fantasy",9.0,2024-10-06,
38,Love Next Door,2024,dropped,series,Korea,"comedy,romance,family",5.0,2024-10-13,
39,Dear Hyeri,2024,dropped,series,Korea,romance,3.0,2024-10-21,
40,Laputa: Castle in the Sky,1986,completed,movie,Japan,"animation,adventure",7.0,2025-04-14,
41,Twister,2024,completed,movie,US,"action,adventure",8.0,2025-04-14,
42,Anyone But You,2023,completed,movie,US,"comedy,romance",8.0,2025-04-15,
43,Ghosted,2023,completed,movie,US,"comedy,romance,action",7.0,2025-04-16,
