id,name,year,status,type,country,genres,rating,watched_date
3273,Scream 3,2000,waiting,movie,,"comedy,horror,mystery,thriller",,
3578,Gladiator,2000,waiting,movie,,"action,adventure,drama",,
3617,Road Trip,2000,waiting,movie,,comedy,,
3744,Shaft,2000,waiting,movie,,"action,crime,thriller",,
3793,X-Men,2000,waiting,movie,,"action,adventure,sci-fi",,
6874,Kill Bill: Vol. 1,2003,waiting,movie,,"action,crime,thriller",,
8798,Collateral,2004,waiting,movie,,"action,crime,drama,thriller",,
46970,Talladega Nights: The Ballad of Ricky Bobby,2006,waiting,movie,,"action,comedy",,
48516,"Departed, The",2006,waiting,movie,,"crime,drama,thriller",,
58559,"Dark Knight, The",2008,waiting,movie,,"action,crime,drama",,
60756,Step Brothers,2008,waiting,movie,,comedy,,
68157,Inglourious Basterds,2009,waiting,movie,,"action,drama,war",,
71535,Zombieland,2009,waiting,movie,,"action,comedy,horror",,
74458,Shutter Island,2010,waiting,movie,,"drama,mystery,thriller",,
77455,Exit Through the Gift Shop,2010,waiting,movie,,"comedy,documentary",,
79132,Inception,2010,waiting,movie,,"action,crime,drama,mystery,sci-fi,thriller",,
80489,"Town, The",2010,waiting,movie,,"crime,drama,thriller",,
80906,Inside Job,2010,waiting,movie,,documentary,,
86345,Louis C.K.: Hilarious,2010,waiting,movie,,comedy,,
89774,Warrior,2011,waiting,movie,,drama,,
91529,"Dark Knight Rises, The",2012,waiting,movie,,"action,adventure,crime",,
91658,"Girl with the Dragon Tattoo, The",2011,waiting,movie,,"drama,thriller",,
106782,"Wolf of Wall Street, The",2013,waiting,movie,,"comedy,crime,drama",,
109487,Interstellar,2014,waiting,movie,,sci-fi,,
112552,Whiplash,2014,waiting,movie,,drama,,
114060,The Drop,2014,waiting,movie,,"crime,drama,thriller",,
115713,Ex Machina,2015,waiting,movie,,"drama,sci-fi,thriller",,
122882,Mad Max: Fury Road,2015,waiting,movie,,"action,adventure,sci-fi,thriller",,
131724,The Jinx: The Life and Deaths of Robert Durst,2015,waiting,movie,,documentary,,
3949,Requiem for a Dream,2000,waiting,movie,,drama,,
72378,2012,2009,waiting,movie,,"action,drama,sci-fi,thriller",,
3317,Wonder Boys,2000,waiting,movie,,"comedy,drama",,
3408,Erin Brockovich,2000,waiting,movie,,drama,,
3481,High Fidelity,2000,waiting,movie,,"comedy,drama,romance",,
3851,I'm the One That I Want,2000,waiting,movie,,comedy,,
3897,Almost Famous,2000,waiting,movie,,drama,,
3911,Best in Show,2000,waiting,movie,,comedy,,
3967,Billy Elliot,2000,waiting,movie,,drama,,
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",2000,waiting,movie,,"action,drama,romance",,
4014,Chocolat,2000,waiting,movie,,"drama,romance",,
4020,"Gift, The",2000,waiting,movie,,thriller,,
4021,Before Night Falls,2000,waiting,movie,,drama,,
4027,"O Brother, Where Art Thou?",2000,waiting,movie,,"adventure,comedy,crime",,
4029,State and Main,2000,waiting,movie,,"comedy,drama",,
4033,Thirteen Days,2000,waiting,movie,,"drama,thriller,war",,
4034,Traffic,2000,waiting,movie,,"crime,drama,thriller",,
4144,In the Mood For Love (Fa yeung nin wa),2000,waiting,movie,,"drama,romance",,
4166,Series 7: The Contenders,2001,waiting,movie,,"action,drama",,
4226,Memento,2000,waiting,movie,,"mystery,thriller",,
4239,Blow,2001,waiting,movie,,"crime,drama",,
4246,Bridget Jones's Diary,2001,waiting,movie,,"comedy,drama,romance",,
4252,"Circle, The (Dayereh)",2000,waiting,movie,,drama,,
4260,"Visit, The",2000,waiting,movie,,drama,,
4273,Under the Sand,2000,waiting,movie,,drama,,
4308,Moulin Rouge,2001,waiting,movie,,"drama,music,romance",,
4347,Divided We Fall (Musíme si pomáhat),2000,waiting,movie,,"comedy,drama",,
4381,"Closet, The (Placard, Le)",2001,waiting,movie,,comedy,,
4641,Ghost World,2001,waiting,movie,,"comedy,drama",,
4741,Together (Tillsammans),2000,waiting,movie,,"comedy,drama,romance",,
4765,L.I.E.,2001,waiting,movie,,drama,,
4881,"Man Who Wasn't There, The",2001,waiting,movie,,"crime,drama",,
4902,"Devil's Backbone, The (Espinazo del diablo, El)",2001,waiting,movie,,"drama,fantasy,horror,thriller,war",,
4967,No Man's Land,2001,waiting,movie,,"drama,war",,
3354,Mission to Mars,2000,waiting,movie,,sci-fi,,
3623,Mission: Impossible II,2000,waiting,movie,,"action,adventure,thriller",,
3916,Remember the Titans,2000,waiting,movie,,drama,,
3977,Charlie's Angels,2000,waiting,movie,,"action,comedy",,
3994,Unbreakable,2000,waiting,movie,,"drama,sci-fi",,
4018,What Women Want,2000,waiting,movie,,"comedy,romance",,
4223,Enemy at the Gates,2001,waiting,movie,,"drama,war",,
4310,Pearl Harbor,2001,waiting,movie,,"action,drama,romance,war",,
4370,A.I. Artificial Intelligence,2001,waiting,movie,,"adventure,drama,sci-fi",,
4643,Planet of the Apes,2001,waiting,movie,,"action,adventure,drama,sci-fi",,
4844,Bandits,2001,waiting,movie,,"comedy,crime,romance",,
4874,K-PAX,2001,waiting,movie,,"drama,fantasy,mystery,sci-fi",,
4963,Ocean's Eleven,2001,waiting,movie,,"crime,thriller",,
4993,"Lord of the Rings: The Fellowship of the Ring, The",2001,waiting,movie,,"adventure,fantasy",,
4995,"Beautiful Mind, A",2001,waiting,movie,,"drama,romance",,
5349,Spider-Man,2002,waiting,movie,,"action,adventure,sci-fi,thriller",,
5378,Star Wars: Episode II - Attack of the Clones,2002,waiting,movie,,"action,adventure,sci-fi",,
5445,Minority Report,2002,waiting,movie,,"action,crime,mystery,sci-fi,thriller",,
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),2002,waiting,movie,,"action,comedy,sci-fi",,
5464,Road to Perdition,2002,waiting,movie,,"crime,drama",,
5502,Signs,2002,waiting,movie,,"horror,sci-fi,thriller",,
5618,Spirited Away (Sen to Chihiro no kamikakushi),2001,waiting,movie,,"adventure,animation,fantasy",,
5816,Harry Potter and the Chamber of Secrets,2002,waiting,movie,,"adventure,fantasy",,
5952,"Lord of the Rings: The Two Towers, The",2002,waiting,movie,,"adventure,fantasy",,
5989,Catch Me If You Can,2002,waiting,movie,,"crime,drama",,
5991,Chicago,2002,waiting,movie,,"comedy,crime,drama,music",,
6333,X2: X-Men United,2003,waiting,movie,,"action,adventure,sci-fi,thriller",,
6365,"Matrix Reloaded, The",2003,waiting,movie,,"action,adventure,sci-fi,thriller",,
6534,Hulk,2003,waiting,movie,,"action,adventure,sci-fi",,
6539,Pirates of the Caribbean: The Curse of the Black Pearl,2003,waiting,movie,,"action,adventure,comedy,fantasy",,
6863,School of Rock,2003,waiting,movie,,"comedy,music",,
6934,"Matrix Revolutions, The",2003,waiting,movie,,"action,adventure,sci-fi,thriller",,
7143,"Last Samurai, The",2003,waiting,movie,,"action,adventure,drama,war",,
7153,"Lord of the Rings: The Return of the King, The",2003,waiting,movie,,"action,adventure,drama,fantasy",,
7155,Calendar Girls,2003,waiting,movie,,comedy,,
7445,Man on Fire,2004,waiting,movie,,"action,crime,drama,mystery,thriller",,
8368,Harry Potter and the Prisoner of Azkaban,2004,waiting,movie,,"adventure,fantasy",,
8373,"Stepford Wives, The",2004,waiting,movie,,"comedy,fantasy,thriller",,
8528,Dodgeball: A True Underdog Story,2004,waiting,movie,,comedy,,
8636,Spider-Man 2,2004,waiting,movie,,"action,adventure,sci-fi",,
8665,"Bourne Supremacy, The",2004,waiting,movie,,"action,crime,thriller",,
8666,Catwoman,2004,waiting,movie,,"action,crime,fantasy",,
8783,"Village, The",2004,waiting,movie,,"drama,mystery,thriller",,
8808,"Princess Diaries 2: Royal Engagement, The",2004,waiting,movie,,"comedy,romance",,
8865,Sky Captain and the World of Tomorrow,2004,waiting,movie,,"action,adventure,sci-fi",,
8870,"Forgotten, The",2004,waiting,movie,,"drama,mystery,sci-fi,thriller",,
8908,Ladder 49,2004,waiting,movie,,"action,drama,thriller",,
8949,Sideways,2004,waiting,movie,,"comedy,drama,romance",,
8957,Saw,2004,waiting,movie,,"horror,mystery,thriller",,
8958,Ray,2004,waiting,movie,,drama,,
8970,Finding Neverland,2004,waiting,movie,,drama,,
