2026-01-01 00:20:40 [INFO] cli | Backup successful
2026-01-01 00:21:50 [INFO] cli | Restore successful
2026-01-01 12:44:53 [INFO] cli | Database optimized: size_before=76.0 KB size_after=76.0 KB reduction=0.0 bytes percent=0.0
2026-01-01 12:56:06 [INFO] cli | Backup successful
2026-01-01 14:38:45 [INFO] csv_to_sqlite | Imported 326 movies from CSV file=data\data.csv, took 0.0487
2026-01-01 14:42:09 [INFO] utils.movie | Added movie id=327: Testing logging!!! (2025)
2026-01-01 14:42:09 [DEBUG] utils.movie | Added movie data: {'name': 'Testing logging!!!', 'year': 2025, 'status': 'waiting', 'type': 'movie', 'country': None, 'genres': ['action'], 'rating': None, 'watched_date': None}
2026-01-01 14:42:35 [INFO] utils.movie | Updated movie id=327 fields=['country', 'genres']
2026-01-01 14:42:36 [INFO] cli | Updated movie id=327 Testing logging!!! (2025)
2026-01-01 14:43:06 [INFO] utils.movie | Deleted movie id=327
2026-01-01 14:43:07 [INFO] cli | Deleted movie id=327 Testing logging!!! (2025)
2026-01-02 23:13:55 [INFO] csv_to_sqlite | Imported 326 movies from CSV file=data\data.csv, took 0.1129
2026-01-02 23:14:17 [INFO] cli | Backup successful
2026-01-06 20:02:47 [INFO] utils.movie | Added series id=327: Can This Love Be Translated? (2026)
2026-01-06 20:02:47 [DEBUG] utils.movie | Added movie data: {'name': 'Can This Love Be Translated?', 'year': 2026, 'status': 'waiting', 'type': 'series', 'country': 'Korea', 'genres': ['romance', 'comedy'], 'rating': None, 'watched_date': None}
2026-01-07 20:51:38 [INFO] utils.movie | Added movie id=328: One Battle After Another (2025)
2026-01-07 20:51:38 [DEBUG] utils.movie | Added movie data: {'name': 'One Battle After Another', 'year': 2025, 'status': 'waiting', 'type': 'movie', 'country': 'US', 'genres': ['action', 'crime', 'thriller', 'comedy'], 'rating': None, 'watched_date': None}
2026-01-13 13:45:30 [INFO] utils.movie | Added movie id=329: The Shadow's Edge (2025)
2026-01-13 13:45:30 [DEBUG] utils.movie | Added movie data: {'name': "The Shadow's Edge", 'year': 2025, 'status': 'waiting', 'type': 'movie', 'country': 'China', 'genres': ['action', 'crime', 'thriller'], 'rating': None, 'watched_date': None}
2026-01-13 23:28:31 [INFO] utils.movie | Added movie id=330: American Psycho (2000)
